Designator,Mid X,Mid Y,Rotation,Layer
C1,129.245,-97.125,180.0,bottom
C2,120.275,-107.455,270.0,bottom
C3,129.6,-83.3,270.0,bottom
C4,122.875,-80.98,90.0,bottom
D1,160.11,-97.535,0.0,bottom
D10,157.725,-99.555,0.0,bottom
D11,157.725,-101.545,0.0,bottom
D12,157.725,-103.535,0.0,bottom
D13,157.725,-105.525,0.0,bottom
D14,157.725,-107.515,0.0,bottom
D15,157.725,-109.505,0.0,bottom
D16,157.725,-111.495,0.0,bottom
D17,155.34,-97.565,0.0,bottom
D18,155.34,-99.555,0.0,bottom
D19,155.34,-101.545,0.0,bottom
D2,160.11,-99.525,0.0,bottom
D20,155.34,-103.535,0.0,bottom
D21,155.34,-105.525,0.0,bottom
D22,155.34,-107.515,0.0,bottom
D23,155.34,-109.505,0.0,bottom
D24,155.34,-111.495,0.0,bottom
D25,152.955,-97.565,0.0,bottom
D26,152.955,-99.555,0.0,bottom
D27,152.955,-101.545,0.0,bottom
D28,152.955,-103.535,0.0,bottom
D29,152.955,-105.525,0.0,bottom
D3,160.11,-101.515,0.0,bottom
D30,152.955,-107.515,0.0,bottom
D31,152.955,-109.505,0.0,bottom
D32,152.955,-111.495,0.0,bottom
D33,150.51,-97.565,0.0,bottom
D34,150.51,-99.555,0.0,bottom
D35,150.57,-101.545,0.0,bottom
D36,150.57,-103.535,0.0,bottom
D37,150.57,-105.525,0.0,bottom
D38,150.57,-107.515,0.0,bottom
D39,150.57,-109.505,0.0,bottom
D4,160.11,-103.505,0.0,bottom
D40,150.57,-111.495,0.0,bottom
D41,148.125,-97.565,0.0,bottom
D42,148.125,-99.555,0.0,bottom
D43,148.125,-101.545,0.0,bottom
D44,148.125,-103.535,0.0,bottom
D45,148.125,-105.525,0.0,bottom
D46,148.125,-107.515,0.0,bottom
D47,148.125,-109.505,0.0,bottom
D48,148.125,-111.495,0.0,bottom
D49,145.74,-97.565,0.0,bottom
D5,160.11,-105.495,0.0,bottom
D50,145.74,-99.555,0.0,bottom
D51,145.74,-101.545,0.0,bottom
D52,145.625,-103.535,0.0,bottom
D53,145.625,-105.525,0.0,bottom
D54,145.625,-107.515,0.0,bottom
D55,145.625,-109.505,0.0,bottom
D56,145.625,-111.495,0.0,bottom
D57,143.24,-97.565,0.0,bottom
D58,143.24,-99.555,0.0,bottom
D59,143.24,-101.545,0.0,bottom
D6,160.11,-107.485,0.0,bottom
D60,143.24,-103.535,0.0,bottom
D61,143.24,-105.525,0.0,bottom
D62,143.24,-107.515,0.0,bottom
D63,143.24,-109.505,0.0,bottom
D64,143.24,-111.495,0.0,bottom
D65,140.855,-97.565,0.0,bottom
D66,140.855,-99.555,0.0,bottom
D67,140.855,-101.545,0.0,bottom
D68,140.855,-103.535,0.0,bottom
D69,140.805,-105.525,0.0,bottom
D7,160.11,-109.475,0.0,bottom
D70,140.805,-107.515,0.0,bottom
D71,140.805,-109.505,0.0,bottom
D72,140.805,-111.495,0.0,bottom
D8,160.11,-111.465,0.0,bottom
D9,157.725,-97.565,0.0,bottom
J1,116.775,-84.45,90.0,bottom
R1,119.3,-104.235,270.0,bottom
R2,132.15,-97.375,180.0,bottom
R3,133.925,-98.55,0.0,bottom
R4,141.465,-89.95,180.0,bottom
SW1,145.65,-88.275,0.0,bottom
U1,134.595,-89.875,270.0,bottom
U2,126.32,-103.075,90.0,bottom
U3,125.9625,-81.525,180.0,bottom
